"Part";"Value";"Device";"Package";"Description";"CPC";"PROD_ID";"SEEEDSTUDIO";"VALUE";
"C1";"1.0uF";"1.0UF-25V-+80/-20(0805)"";"0805-CAP";"CAP-11625";"";"CAP-11625";"";"1.0uF";
"C2";"0.1uF";"1.0UF-25V-+80/-20(0805)"";"0805-CAP";"CAP-11625";"";"CAP-11625";"";"1.0uF";
"C3";"1.0uF";"1.0UF-25V-+80/-20(0805)"";"0805-CAP";"CAP-11625";"";"CAP-11625";"";"1.0uF";
"C4";"0.1uF";"1.0UF-25V-+80/-20(0805)"";"0805-CAP";"CAP-11625";"";"CAP-11625";"";"1.0uF";
"D2";"";"LED1206-BOTTOM";"LED-1206-BOTTOM";"LEDs";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";
"H1";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";"";"";"";
"H2";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";"";"";"";
"H3";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";"";"";"";
"H4";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";"";"";"";
"IC1";"BME680";"BME680";"BME680";"BME680 integrates for the first time individual high linearity and high accuracy sensors for gas, pressure, humidity and temperature.";"";"";"";"";
"IC2";"TCS3472";"TCS3472";"FN-6";"";"";"";"";"";
"JP1";"A1-2";"M04JST-PTH-VERT";"JST-4-PTH-VERT";"Header 4";"MK00368";"";"110990030";"";
"JP2";"A3-4";"M04JST-PTH-VERT";"JST-4-PTH-VERT";"Header 4";"";"";"";"";
"JP3";"Serial";"M04JST-PTH-VERT";"JST-4-PTH-VERT";"Header 4";"";"";"";"";
"JP4";"D7-8";"M04JST-PTH-VERT";"JST-4-PTH-VERT";"Header 4";"";"";"";"";
"JP5";"I2C1 - D2-3";"M04JST-PTH-VERT";"JST-4-PTH-VERT";"Header 4";"";"";"";"";
"JP6";"I2C";"M04JST-PTH-VERT";"JST-4-PTH-VERT";"Header 4";"";"";"";"";
"JP7";"Ext. Power (5v)";"M02POLAR_LOCK";"MOLEX-1X2_LOCK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP9";"FAN";"M03POLAR";"MOLEX-1X3";"Header 3";"";"";"";"";
"JP10";"FAN Power in";"M02POLAR_LOCK";"MOLEX-1X2_LOCK";"Standard 2-pin 0.1" header. Use with";"";"";"";"";
"JP11";"";"M03PTH";"1X03";"Header 3";"";"";"";"";
"LOGO1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo";"";"";"";"";
"MS1";"FEATHERWING_NODIM";"FEATHERWING_NODIM";"FEATHERWING_DIM";"";"";"";"";"";
"Q1";"220mA/50V/3.5O";"MOSFET-NCH-BSS138";"SOT23-3";"N-channel MOSFETs";"";"TRANS-00830";"";"220mA/50V/3.5O";
"Q2";"4.3A/20V/54mO";"MOSFET_PCH-IRLML2244";"SOT23-3";"P-channel MOSFETs";"";"TRANS-11153";"";"4.3A/20V/54mO";
"R1";"310R";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R2";"1M";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R3";"4k7";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R4";"4k7";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R5";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R6";"1M";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
"R7";"10R";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";
